date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:02	179/179	---M-Z	200	added ('OK')	text/plain	etag:%2243-1789509753;br%22	https://lowyaltybrandingline.com/robots.txt		(from )
12:04:03	309531/309531	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202026%2009:04:02%20GMT	https://lowyaltybrandingline.com/	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/index.html	(from )
12:04:03	1088/1088	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a36b4c68ac40559db3578ac9d951ccc3%22	https://lowyaltybrandingline.com/feed/	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/feed/index.html	(from https://lowyaltybrandingline.com/)
12:04:04	2087/2087	---M-Z	200	added ('OK')	application/json	etag:%22204-1789549443;br%22	https://lowyaltybrandingline.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flowyaltybrandingline.com%2F	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-json/oembed/1.0/embedf3cb.json	(from https://lowyaltybrandingline.com/)
12:04:04	779/779	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a36b4c68ac40559db3578ac9d951ccc3%22	https://lowyaltybrandingline.com/comments/feed/	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/comments/feed/index.html	(from https://lowyaltybrandingline.com/)
12:04:04	2241/2241	---M-Z	200	added ('OK')	text/xml	etag:%22205-1789549444;br%22	https://lowyaltybrandingline.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flowyaltybrandingline.com%2F&format=xml	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-json/oembed/1.0/embed10d4	(from https://lowyaltybrandingline.com/)
12:04:05	92626/92626	---M--	200	added ('OK')	font/woff2	etag:%22169d2-692df96f-56fceb7e20dbe2e2;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Black-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Black-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:06	444101/444101	---M--	200	added ('OK')	image/jpeg	etag:%226c6c5-6aa4fb85-f0841a961e828654;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2026/09/Gemini_Generated_Image_ignalmignalmigna.jpg	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2026/09/Gemini_Generated_Image_ignalmignalmigna.jpg	(from https://lowyaltybrandingline.com/)
12:04:06	98406/98406	---M--	200	added ('OK')	font/woff2	etag:%2218066-692df9b2-7bd124389cf6f727;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Bold-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Bold-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:06	94347/94347	---M--	200	added ('OK')	font/woff2	etag:%221708b-692df999-be97c74c0bddade7;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Black-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Black-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:06	93600/93600	---M--	200	added ('OK')	font/woff2	etag:%2216da0-692df9c4-ba0cba0e8d14206a;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Bold-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Bold-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:06	90630/90630	---M--	200	added ('OK')	font/woff2	etag:%2216206-692df9e2-2726491b286097ce;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-ExtraLight-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-ExtraLight-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:07	86465/86465	---M--	200	added ('OK')	font/woff2	etag:%22151c1-692dfa06-3c73de6e23b70070;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Light-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Light-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:07	90429/90429	---M--	200	added ('OK')	font/woff2	etag:%221613d-692dfa21-986d38bc5e9bba67;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Light-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Light-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:08	86945/86945	---M--	200	added ('OK')	font/woff2	etag:%22153a1-692dfa43-535dbf62e7035409;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Medium-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Medium-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:08	85671/85671	---M--	200	added ('OK')	font/woff2	etag:%2214ea7-692dfa51-f68eb32f76dbaec9;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Medium-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Medium-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:08	86061/86061	---M--	200	added ('OK')	font/woff2	etag:%221502d-692dfa67-facd4ba2bdf7c2ae;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Regular-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Regular-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:09	96369/96369	---M--	200	added ('OK')	font/woff2	etag:%2217871-692dfa99-7109b534b77a1223;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Semi-Bold-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Semi-Bold-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:09	86144/86144	---M--	200	added ('OK')	font/woff2	etag:%2215080-692dfa7a-fec3ec7a9bba5647;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Regular-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Regular-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
12:04:09	92787/92787	---M--	200	added ('OK')	font/woff2	etag:%2216a73-692dfab1-fda851fb7a60663e;;;%22	https://lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Semi-Bold-Italic-Az.woff2	C:/My%20Web%20Sites/Lowyalty%20Website/lowyaltybrandingline.com/wp-content/uploads/2025/12/Sofia-Pro-Semi-Bold-Italic-Az.woff2	(from https://lowyaltybrandingline.com/)
